idReferencia~UniProtID~Titulo~Anio~Autores
1~P52756~A putative tumor suppressor gene LUCA15 on 3p21.3 encodes two RNA recognizing motifs and is related to the Drosophila tumor suppressor gene Sxl.~1996~['Bader S.', 'Latif F.', 'Duh F.-M.', 'Wei M.', 'Kashuba V.', 'Sekido Y.', 'Lee C.', 'Koonin E.', 'Zabarofsky E.', 'Klein G.', 'Minna J.D.', 'Lerman M.I.']
2~P52756~An evolutionary rearrangement of the Xp11.3-11.23 region in 3p21.3, a region frequently deleted in a variety of cancers.~1999~['Timmer T.', 'Terpstra P.', 'van den Berg A.', 'Veldhuis P.M.J.F.', 'Ter Elst A.', 'van der Veen A.Y.', 'Kok K.', 'Naylor S.L.', 'Buys C.H.C.M.']
3~P52756~Identification of differentially expressed genes associated with HER-2/neu overexpression in human breast cancer cells.~1999~['Oh J.J.', 'Grosshans D.R.', 'Wong S.G.', 'Slamon D.J.']
4~P52756~ ~2001~['Oh J.J.', 'Wong S.G.', 'Slamon D.J.']
5~P78332~Human lung cancer antigens recognized by autologous antibodies: definition of a novel cDNA derived from the tumor suppressor gene locus on chromosome 3p21.3.~1998~['Gure A.O.', 'Altorki N.K.', 'Stockert E.', 'Scanlan M.J.', 'Old L.J.', 'Chen Y.-T.']
6~P78332~A comparison of genomic structures and expression patterns of two closely related flanking genes in a critical lung cancer region at 3p21.3.~1999~['Timmer T.', 'Terpstra P.', 'van den Berg A.', 'Veldhuis P.M.', 'Ter Elst A.', 'Voutsinas G.', 'Hulsbeek M.M.F.', 'Draaijers T.G.', 'Looman M.W.G.', 'Kok K.', 'Naylor S.L.', 'Buys C.H.C.M.']
7~P78332~DEF-3(g16/NY-LU-12), an RNA binding protein from the 3p21.3 homozygous deletion region in SCLC.~1999~['Drabkin H.A.', 'West J.D.', 'Hotfilder M.', 'Heng Y.M.', 'Erickson P.', 'Calvo R.', 'Dalmau J.', 'Gemmill R.M.', 'Sablitzky F.']
8~P78332~A highly conserved and universally expressed gene is interrupted by a homozygous deletion in a small cell lung cancer cell line NCI-H740.~1998~['Latif F.', 'Duh F.-M.', 'Wei M.H.', 'Sekido Y.', 'Forgacs E.', 'Minna J.D.', 'Lerman M.I.']
9~Q96IC2~Cloning of a novel exonuclease factor gene related to testis development in humans.~2000~['Li J.M.', 'Sha J.H.', 'Zhou Z.M.']
10~Q96IC2~Towards a catalog of human genes and proteins: sequencing and analysis of 500 novel complete protein coding human cDNAs.~2001~['Wiemann S.', 'Weil B.', 'Wellenreuther R.', 'Gassenhuber J.', 'Glassl S.', 'Ansorge W.', 'Boecher M.', 'Bloecker H.', 'Bauersachs S.', 'Blum H.', 'Lauber J.', 'Duesterhoeft A.', 'Beyer A.', 'Koehrer K.', 'Strack N.', 'Mewes H.-W.', 'Ottenwaelder B.', 'Obermaier B.', 'Tampe J.', 'Heubner D.', 'Wambutt R.', 'Korn B.', 'Klein M.', 'Poustka A.']
