idReferencia~Autor
1~Bader S.
1~Latif F.
8~Latif F.
1~Duh F.-M.
8~Duh F.-M.
1~Wei M.
1~Kashuba V.
1~Sekido Y.
8~Sekido Y.
1~Lee C.
1~Koonin E.
1~Zabarofsky E.
1~Klein G.
1~Minna J.D.
8~Minna J.D.
1~Lerman M.I.
8~Lerman M.I.
2~Timmer T.
6~Timmer T.
2~Terpstra P.
6~Terpstra P.
2~van den Berg A.
6~van den Berg A.
2~Veldhuis P.M.J.F.
2~Ter Elst A.
6~Ter Elst A.
2~van der Veen A.Y.
2~Kok K.
6~Kok K.
2~Naylor S.L.
6~Naylor S.L.
119~Naylor S.L.
132~Naylor S.L.
817~Naylor S.L.
1034~Naylor S.L.
1040~Naylor S.L.
1182~Naylor S.L.
2899~Naylor S.L.
2~Buys C.H.C.M.
6~Buys C.H.C.M.
3~Oh J.J.
4~Oh J.J.
3~Grosshans D.R.
3~Wong S.G.
4~Wong S.G.
3~Slamon D.J.
4~Slamon D.J.
5~Gure A.O.
643~Gure A.O.
1342~Gure A.O.
5~Altorki N.K.
5~Stockert E.
643~Stockert E.
1342~Stockert E.
5~Scanlan M.J.
643~Scanlan M.J.
1342~Scanlan M.J.
5~Old L.J.
643~Old L.J.
1342~Old L.J.
5~Chen Y.-T.
643~Chen Y.-T.
1342~Chen Y.-T.
6~Veldhuis P.M.
6~Voutsinas G.
6~Hulsbeek M.M.F.
6~Draaijers T.G.
6~Looman M.W.G.
7~Drabkin H.A.
7~West J.D.
7~Hotfilder M.
7~Heng Y.M.
7~Erickson P.
7~Calvo R.
7~Dalmau J.
1002~Dalmau J.
7~Gemmill R.M.
7~Sablitzky F.
2049~Sablitzky F.
8~Wei M.H.
8~Forgacs E.
9~Li J.M.
403~Li J.M.
432~Li J.M.
9~Sha J.H.
432~Sha J.H.
9~Zhou Z.M.
432~Zhou Z.M.
10~Wiemann S.
51~Wiemann S.
55~Wiemann S.
57~Wiemann S.
80~Wiemann S.
124~Wiemann S.
162~Wiemann S.
185~Wiemann S.
211~Wiemann S.
228~Wiemann S.
272~Wiemann S.
280~Wiemann S.
301~Wiemann S.
331~Wiemann S.
361~Wiemann S.
428~Wiemann S.
480~Wiemann S.
533~Wiemann S.
537~Wiemann S.
538~Wiemann S.
605~Wiemann S.
611~Wiemann S.
617~Wiemann S.
674~Wiemann S.
701~Wiemann S.
749~Wiemann S.
779~Wiemann S.
820~Wiemann S.
860~Wiemann S.
867~Wiemann S.
948~Wiemann S.
996~Wiemann S.
1008~Wiemann S.
1025~Wiemann S.
1026~Wiemann S.
1060~Wiemann S.
1124~Wiemann S.
1136~Wiemann S.
1160~Wiemann S.
1184~Wiemann S.
1216~Wiemann S.
1279~Wiemann S.
2875~Wiemann S.
2888~Wiemann S.
3420~Wiemann S.
3433~Wiemann S.
10~Weil B.
57~Weil B.
162~Weil B.
185~Weil B.
533~Weil B.
538~Weil B.
867~Weil B.
1160~Weil B.
2888~Weil B.
3433~Weil B.
10~Wellenreuther R.
51~Wellenreuther R.
55~Wellenreuther R.
57~Wellenreuther R.
80~Wellenreuther R.
124~Wellenreuther R.
162~Wellenreuther R.
185~Wellenreuther R.
211~Wellenreuther R.
228~Wellenreuther R.
272~Wellenreuther R.
280~Wellenreuther R.
301~Wellenreuther R.
331~Wellenreuther R.
361~Wellenreuther R.
428~Wellenreuther R.
480~Wellenreuther R.
533~Wellenreuther R.
537~Wellenreuther R.
538~Wellenreuther R.
605~Wellenreuther R.
617~Wellenreuther R.
674~Wellenreuther R.
701~Wellenreuther R.
749~Wellenreuther R.
779~Wellenreuther R.
820~Wellenreuther R.
860~Wellenreuther R.
867~Wellenreuther R.
948~Wellenreuther R.
996~Wellenreuther R.
1008~Wellenreuther R.
1025~Wellenreuther R.
1026~Wellenreuther R.
1060~Wellenreuther R.
1124~Wellenreuther R.
1136~Wellenreuther R.
1160~Wellenreuther R.
1184~Wellenreuther R.
1216~Wellenreuther R.
1279~Wellenreuther R.
2875~Wellenreuther R.
2888~Wellenreuther R.
3420~Wellenreuther R.
3433~Wellenreuther R.
10~Gassenhuber J.
57~Gassenhuber J.
162~Gassenhuber J.
185~Gassenhuber J.
533~Gassenhuber J.
538~Gassenhuber J.
867~Gassenhuber J.
